,symbol,name,price_btc,price_usd,percent_change_1h,percent_change_7d,volume_usd_24h,market_cap_usd,max_supply,available_supply,total_supply
772,PAK,Pakcoin,0.00000211,0.0238181,2.89,14.76,4563.95,1130417.0,182000000.0,47460400.0,47460400.0
773,TRK,Truckcoin,0.00000059,0.00664813,1.12,,3568.12,1105916.0,,166349884.0,166349884.0
774,MOJO,MojoCoin,0.00000807,0.0908928,-6.79,6.85,8681.56,1105006.0,,12157240.0,12157240.0
775,ACC,AdCoin,0.00001749,0.197107,0.22,-17.52,17509.7,1095023.0,,5555477.0,70547959.0
776,BTWTY,Bit20,94.9084,1069430.0,0.77,51.38,3040.82,1086541.0,,1.0,1.0
777,MDC,Madcoin,0.00005258,0.592435,-1.8,-31.7,17045.6,1078002.0,3942000.0,1819612.0,2276865.0
778,WHL,WhaleCoin,0.00001582,0.178244,-0.33,-25.25,1031.5,1070299.0,,6004684.0,6004684.0
779,XHI,HiCoin,0.00000049,0.0055411,-0.42,-7.88,41058.0,1051313.0,,189729990.0,10000244678.0
780,XCT,C-Bit,0.00000058,0.00657839,-0.5,-49.8,11206.0,1036924.0,,157625875.0,157625875.0
781,KUSH,KushCoin,0.00001672,0.188371,0.04,-6.49,978.392,1031499.0,,5475888.0,5475888.0
782,RED,RedCoin,0.00000123,0.0138597,-13.68,-18.44,28509.7,1027113.0,,74107896.0,74107896.0
783,CRAVE,Crave,0.00006089,0.686155,1.29,-89.6,89130.7,1026173.0,,1495541.0,1495541.0
784,PCOIN,Pioneer Coin,0.00005008,0.564302,-0.35,19.93,11159.3,1023093.0,23000000.0,1813024.0,2708457.0
785,TGC,Tigercoin,0.00000206,0.0232121,2.64,12.76,4118.79,1010581.0,,43536800.0,43536800.0
786,CCO,Ccore,0.00007455,0.840025,-0.38,-35.48,3316.77,1008030.0,,1200000.0,10000000.0
787,NUKO,Nekonium,0.00000991,0.111666,-9.02,-41.35,7812.88,1003712.0,,8988522.0,18594251.0
788,ICN,iCoin,0.00000301,0.0339167,-0.35,29.46,5686.15,995632.0,,29355213.0,29355213.0
789,GRIM,Grimcoin,0.00000185,0.0208935,-3.46,-19.6,683.383,977560.0,,46787761.0,60954499.0
790,SLG,Sterlingcoin,0.00002030,0.22871,-0.33,12.16,3477.67,966422.0,,4225532.0,4225532.0
791,CNO,Coin(O),0.00000081,0.0091271,-3.11,14.66,2260.35,960091.0,,105191196.0,105191196.0
792,VLT,Veltor,0.00015297,1.72367,-0.35,-25.22,513.746,956387.0,,554855.0,554855.0
793,GAP,Gapcoin,0.00000683,0.0769606,10.4,42.29,8485.06,952787.0,,12380195.0,12380195.0
794,CHAN,ChanCoin,0.00001172,0.1321,-0.34,12.6,15778.0,949992.0,,7191465.0,7191465.0
795,XIOS,Xios,0.00003852,0.434039,0.33,-36.35,4313.92,933049.0,21000000.0,2149688.0,2149688.0
796,HAT,Hawala.Today,0.00110357,12.435,-5.42,-10.22,36958.0,924811.0,,74372.0,7000000.0
797,LTB,LiteBar,0.00009600,1.08173,-5.34,28.95,23598.0,924652.0,,854790.0,854790.0
798,BLC,Blakecoin,0.00000540,0.0608473,-1.47,-29.22,2770.46,920175.0,,15122697.0,15122697.0
799,8BIT,8Bit,0.00005507,0.620501,-0.13,-19.99,1165.72,910797.0,,1467841.0,1467841.0
800,CHESS,ChessCoin,0.00000146,0.0164403,0.19,14.9,1247.18,888315.0,,54032769.0,54032769.0
801,HERO,Sovereign Hero,0.0164187,185.006,0.22,3.17,1033.63,883034.0,,4773.0,4773.0
802,XPY,PayCoin,0.00000660,0.0743297,-0.64,-10.7,651.343,880430.0,,11844923.0,11844923.0
803,ETHD,Ethereum Dark,0.00005158,0.581235,-0.91,-36.12,84585.6,871852.0,4200000.0,1500000.0,3019862.0
804,ROC,Rasputin Online Coin,0.00007054,0.794872,-0.92,-30.87,3885.68,861354.0,5000000.0,1083638.0,5000000.0
805,STARS,StarCash Network,0.00008772,0.988431,-0.32,-42.85,3519.92,848325.0,,858254.0,931482.0
806,ARG,Argentum,0.00000831,0.0936871,-0.82,-7.55,6796.06,830065.0,,8859970.0,8859970.0
807,EL,Elcoin,0.00000654,0.0737478,-0.8,-53.88,5444.05,826637.0,,11208967.0,20935289.0
808,PXC,Phoenixcoin,0.00000114,0.0128455,-6.99,-40.89,3079.42,817797.0,,63664081.0,63664081.0
809,808,808Coin,0.00000002,0.000203546,45.29,7.18,6607.84,809744.0,,3978187849.0,3978187849.0
810,EVIL,Evil Coin,0.00000338,0.0381307,-2.32,22.99,1369.39,801522.0,,21020383.0,21020383.0
811,XRA,Ratecoin,0.00000060,0.00681698,2.96,-6.49,8348.16,800362.0,,117407140.0,117407140.0
812,ZZC,ZoZoCoin,0.00012,1.35216,-0.32,-11.97,5909.66,798790.0,27000000.0,590751.0,7296311.0
813,XGR,GoldReserve,0.00000412,0.0464242,-2.68,-4.53,2284.97,797168.0,40000000.0,17171382.0,17171382.0
814,MNM,Mineum,0.00000749,0.0843544,-1.12,-1.63,4129.23,795999.0,,9436367.0,9586367.0
815,XRE,RevolverCoin,0.00000313,0.0352689,5.94,29.21,22811.6,792370.0,,22466542.0,22466542.0
816,CRX,Chronos,0.00000095,0.0106566,3.71,-41.86,8141.23,785711.0,,73729962.0,73729962.0
817,DIX,Dix Asset,0.0000000007,0.0000077567,4.36,-33.73,21642.4,775667.0,,100000000000,100000000000
818,ONX,Onix,0.00000250,0.0281171,-0.59,-23.43,5931.74,771331.0,,27432814.0,103181030.0
819,POST,PostCoin,0.00000430,0.0484878,-1.03,-30.47,10904.3,769416.0,,15868233.0,15868233.0
820,BCF,Bitcoin Fast,0.00001232,0.138822,-0.34,-37.84,7015.36,766098.0,,5518560.0,8419688.0
821,EOT,EOT Token,0.00000349,0.039284,-3.59,-55.33,16117.0,745131.0,200000000.0,18967792.0,117167789.0
822,SOON,SoonCoin,0.00000530,0.0597205,1.93,11.85,13974.7,744274.0,,12462620.0,12462620.0
823,SWING,Swing,0.00002241,0.252551,-0.35,20.57,1676.87,742461.0,,2939845.0,2939845.0
824,LBTC,LiteBitcoin,0.00000227,0.0256021,4.3,0.93,21439.2,740933.0,1000000000.0,28940333.0,172585874.0
825,BOLI,Bolivarcoin,0.00000720,0.0811366,2.68,32.38,13923.3,721396.0,,8891125.0,8891125.0
826,UNITS,GameUnits,0.00001810,0.203937,22.67,20.22,5367.85,708270.0,13000000.0,3472983.0,3472983.0
827,CCN,CannaCoin,0.00001332,0.15009,1.16,-51.43,18390.3,705574.0,,4701009.0,4701009.0
828,TAG,TagCoin,0.00001008,0.113567,8.28,-13.06,6435.17,695891.0,,6127585.0,6127585.0
829,BITBTC,bitBTC,1.3383,15080.0,0.44,9.88,38545.1,689420.0,,46.0,46.0
830,BERN,BERNcash,0.00000085,0.00962264,-3.28,17.36,3701.45,685462.0,,71234301.0,71234301.0
831,ARCO,AquariusCoin,0.00003838,0.432492,0.77,22.94,2873.96,675772.0,,1562509.0,1562509.0
832,MNC,Mincoin,0.00001400,0.157723,0.07,36.33,631.174,656657.0,,4163357.0,4163357.0
833,MOTO,Motocoin,0.00000313,0.0352718,-1.85,51.51,2104.6,653419.0,,18525248.0,31055879.0
834,DUO,ParallelCoin,0.00018269,2.05857,-0.35,34.22,19260.0,646429.0,,314019.0,314019.0
835,VC,VirtualCoin,0.00000570,0.0642277,-0.32,19.25,2704.89,646406.0,4000000000.0,10064287.0,10064287.0
836,C2,Coin2.1,0.00000072,0.00814922,-0.28,-36.89,1234.47,637644.0,,78245975.0,133273764.0
837,LCP,Litecoin Plus,0.00006000,0.676081,-2.12,-16.18,7823.44,634300.0,4000000.0,938201.0,938201.0
838,QTL,Quatloo,0.00000729,0.0821439,-0.05,-2.39,1392.55,634059.0,,7718883.0,7718883.0
839,EMD,Emerald Crypto,0.00000294,0.033128,-0.35,-4.61,1549.09,633312.0,,19117129.0,19117129.0
840,TRDT,Trident Group,0.00007100,0.800029,-0.32,46.77,617.821,626722.0,,783374.0,3000000.0
841,HNC,Helleniccoin,0.00000086,0.00965073,-2.39,-29.59,7375.25,625902.0,100000000.0,64855380.0,64855380.0
842,YTN,YENTEN,0.00001902,0.214318,-2.81,-47.19,2753.29,623736.0,84000000.0,2910328.0,3150300.0
843,BTQ,BitQuark,0.00000586,0.0660306,82.25,127.39,2407.54,621083.0,,9405981.0,9405981.0
844,UNY,Unity Ingot,0.00000026,0.00297467,-0.14,-37.24,4573.98,600883.0,,202000000.0,10000000000.0
845,DALC,Dalecoin,0.00011608,1.30805,-5.58,18.91,1930.69,600679.0,1000000.0,459217.0,1000000.0
846,HXX,Hexx,0.00003472,0.391182,-0.59,10.61,1949.32,591848.0,,1512974.0,1512974.0
847,KED,Darsek,0.00000317,0.0357196,-0.35,-24.04,2903.72,590194.0,,16522962.0,16522962.0
