,symbol,name,price_btc,price_usd,percent_change_1h,percent_change_24h,volume_usd_24h,market_cap_usd,available_supply,max_supply
1328,HYTV,Hyper TV,0.00000020 BTC,$0.00,-4.5%,-42.4%,"4,588.5",Unknown,Unknown,Unknown
1329,ZAP,Zap,0.00003241 BTC,$0.25,-3.83%,-17.0%,"4,333.21",Unknown,Unknown,Unknown
1330,MCR,Macro,0.00009547 BTC,$0.76,1.97%,-10.59%,"4,242.87",Unknown,Unknown,Unknown
1331,ESC,Escroco,0.00008548 BTC,$0.68,-8.27%,-10.18%,"4,165.74",Unknown,Unknown,"3,100,000.0"
1332,ANI,Animecoin,0.00000021 BTC,$0.00,-3.78%,-7.85%,"3,948.72",Unknown,Unknown,Unknown
1333,UTT,United Traders Token,0.00008587 BTC,$0.68,-2.6%,-14.0%,"3,884.7",Unknown,Unknown,Unknown
1334,FAP,FAPcoin,0.00000058 BTC,$0.00,-3.81%,-13.53%,"3,786.12",Unknown,Unknown,Unknown
1335,DEUS,DeusCoin,0.00001508 BTC,$0.12,-3.71%,-29.2%,"3,776.07",Unknown,Unknown,Unknown
1336,BT2,BT2 [CST],0.00600126 BTC,$47.9,-5.32%,-26.84%,"3,576.72",Unknown,Unknown,Unknown
1337,GARY,President Johnson,0.00001421 BTC,$0.11,-2.26%,40.45%,"3,294.0",Unknown,Unknown,Unknown
1338,XOT,Internet of Things,0.0774338 BTC,$618.,Unknown,-16.19%,"3,261.23",Unknown,Unknown,"21,000,000.0"
1339,XRY,Royalties,0.00000002 BTC,$0.00,-20.71%,-26.72%,"3,253.62",Unknown,Unknown,Unknown
1340,KZC,Kzcash,0.00045934 BTC,$3.67,-2.85%,-12.09%,"3,211.61",Unknown,Unknown,"18,900,000.0"
1341,BITCF,First Bitcoin Capital,0.00002498 BTC,$0.19,-3.78%,Unknown,"3,197.16",Unknown,Unknown,Unknown
1342,FLAP,FlappyCoin,0.000000001 BTC,$0.00,-3.1%,-77.96%,"2,992.26",Unknown,Unknown,Unknown
1343,GOLF,Golfcoin,0.00000003 BTC,$0.00,-3.78%,-14.49%,"2,954.42",Unknown,Unknown,Unknown
1344,CSC,CasinoCoin,0.00000017 BTC,$0.00,-12.61%,-19.48%,"2,576.64",Unknown,Unknown,Unknown
1345,GCS,GameChain System,0.00000267 BTC,$0.02,-4.71%,-16.39%,"2,555.73",Unknown,Unknown,Unknown
1346,SJCX,Storjcoin X,0.00013383 BTC,$1.06,2.45%,-0.41%,"2,547.08",Unknown,Unknown,Unknown
1347,PEC,Peacecoin,0.00000162 BTC,$0.01,-3.71%,-23.05%,"2,427.5",Unknown,Unknown,Unknown
1348,TCOIN,T-coin,0.00000002 BTC,$0.00,-3.96%,-28.53%,"2,357.53",Unknown,Unknown,Unknown
1349,QBT,Cubits,0.00000080 BTC,$0.00,2.44%,8.47%,"2,270.39",Unknown,Unknown,"300,000,000.0"
1350,TESLA,TeslaCoilCoin,0.00013083 BTC,$1.04,-3.71%,-12.61%,"2,236.27",Unknown,Unknown,Unknown
1351,PCS,Pabyosi Coin (Special),0.00001246 BTC,$0.09,-3.78%,-30.71%,"2,229.26",Unknown,Unknown,Unknown
1352,ABC,Alphabit,0.0136978 BTC,$109.,-3.78%,7.01%,"2,173.45",Unknown,Unknown,Unknown
1353,EUSD,eUSD,0.00000011 BTC,$0.00,-22.18%,154.98%,"2,092.8",Unknown,Unknown,Unknown
1354,FRN,Francs,0.00000975 BTC,$0.07,-3.78%,-3.65%,"1,656.78",Unknown,Unknown,Unknown
1355,BEST,BestChain,0.00000091 BTC,$0.00,-3.94%,-18.33%,"1,536.92",Unknown,Unknown,Unknown
1356,GLS,GlassCoin,0.00003601 BTC,$0.28,-3.78%,-14.48%,"1,482.85",Unknown,Unknown,Unknown
1357,DUBI,Decentralized Universal Basic Income,0.013575 BTC,$108.,-4.66%,-4.97%,"1,463.98",Unknown,Unknown,Unknown
1358,COR,CORION,0.00004000 BTC,$0.31,-3.68%,-14.47%,"1,425.79",Unknown,Unknown,Unknown
1359,EDRC,EDRCoin,0.00001306 BTC,$0.10,3.48%,-13.05%,"1,413.74",Unknown,Unknown,Unknown
1360,ANTX,Antimatter,0.00000003 BTC,$0.00,-3.71%,28.25%,"1,412.57",Unknown,Unknown,Unknown
1361,PLX,PlexCoin,0.00000325 BTC,$0.02,-6.66%,-17.32%,"1,369.27",Unknown,Unknown,Unknown
1362,MAGN,Magnetcoin,0.00005110 BTC,$0.40,-3.71%,-28.52%,"1,347.05",Unknown,Unknown,Unknown
1363,GRN,Granite,0.00000203 BTC,$0.01,-8.78%,-14.28%,"1,333.78",Unknown,Unknown,Unknown
1364,WSX,WeAreSatoshi,0.00000149 BTC,$0.01,-3.87%,-5.7%,"1,329.58",Unknown,Unknown,Unknown
1365,RBBT,RabbitCoin,0.000000003 BTC,$0.00,-7.27%,3.42%,"1,195.76",Unknown,Unknown,Unknown
1366,WINK,Wink,0.00000041 BTC,$0.00,-9.0%,59.86%,"1,177.33",Unknown,Unknown,"80,000,000.0"
1367,HCC,Happy Creator Coin,0.00000001 BTC,$0.00,-47.43%,-55.4%,"1,156.79",Unknown,Unknown,Unknown
1368,MONEY,MoneyCoin,0.00000002 BTC,$0.00,-3.78%,19.48%,"1,133.63",Unknown,Unknown,Unknown
1369,INDIA,India Coin,0.00000015 BTC,$0.00,11.11%,-8.41%,"1,088.47",Unknown,Unknown,Unknown
1370,ELITE,Ethereum Lite,0.00003792 BTC,$0.30,-1.47%,-6.9%,"1,081.32",Unknown,Unknown,Unknown
1371,SAK,Sharkcoin,0.00000069 BTC,$0.00,-3.78%,1.48%,959.685,Unknown,Unknown,Unknown
1372,GAIN,UGAIN,0.00000102 BTC,$0.00,5.02%,-19.64%,952.724,Unknown,Unknown,Unknown
1373,ELC,Elacoin,0.00004400 BTC,$0.35,-4.04%,5.82%,902.211,Unknown,Unknown,Unknown
1374,EGOLD,eGold,0.00000259 BTC,$0.02,-6.68%,-50.78%,894.744,Unknown,Unknown,Unknown
1375,TOP,TopCoin,0.00000032 BTC,$0.00,-5.47%,-14.85%,888.58,Unknown,Unknown,Unknown
1376,MTX,Matryx,0.00007145 BTC,$0.57,-4.5%,10.22%,859.63,Unknown,Unknown,Unknown
1377,ROYAL,RoyalCoin,0.00000121 BTC,$0.00,3.03%,-14.03%,842.253,Unknown,Unknown,Unknown
1378,WOW,Wowcoin,0.00000002 BTC,$0.00,-23.15%,-37.85%,821.568,Unknown,Unknown,Unknown
1379,DMC,DynamicCoin,0.00000043 BTC,$0.00,-1.45%,-5.2%,795.892,Unknown,Unknown,Unknown
1380,BITOK,Bitok,0.00000002 BTC,$0.00,34.86%,-14.49%,786.465,Unknown,Unknown,Unknown
1381,APC,AlpaCoin,0.00000100 BTC,$0.00,-3.18%,-2.22%,772.021,Unknown,Unknown,Unknown
1382,FAZZ,Fazzcoin,0.00000720 BTC,$0.05,-19.0%,-35.83%,756.117,Unknown,Unknown,Unknown
1383,BTCM,BTCMoon,0.00000132 BTC,$0.01,-1.39%,-8.9%,727.302,Unknown,Unknown,Unknown
1384,SHA,SHACoin,0.00000054 BTC,$0.00,-3.78%,-11.8%,647.243,Unknown,Unknown,Unknown
1385,NUMUS,NumusCash,0.00000003 BTC,$0.00,-3.78%,-34.55%,647.239,Unknown,Unknown,Unknown
1386,VULC,Vulcano,0.00000072 BTC,$0.00,-3.98%,-15.55%,639.705,Unknown,Unknown,Unknown
1387,OPES,Opescoin,0.00000026 BTC,$0.00,-16.26%,-7.35%,626.851,Unknown,Unknown,Unknown
1388,DON,Donationcoin,0.00000022 BTC,$0.00,-3.78%,-7.07%,590.957,Unknown,Unknown,Unknown
1389,LDCN,LandCoin,0.00000024 BTC,$0.00,-8.83%,-75.38%,581.254,Unknown,Unknown,Unknown
1390,WIC,Wi Coin,0.00000032 BTC,$0.00,-4.55%,-18.79%,545.056,Unknown,Unknown,Unknown
1391,ZSE,ZSEcoin,0.00000405 BTC,$0.03,-3.76%,-5.7%,531.919,Unknown,Unknown,Unknown
1392,UR,UR,0.00000027 BTC,$0.00,-3.78%,-11.21%,496.485,Unknown,Unknown,Unknown
1393,MCI,Musiconomi,0.00001256 BTC,$0.10,-11.41%,-1.62%,478.196,Unknown,Unknown,Unknown
1394,CASH,Cash Poker Pro,0.00000857 BTC,$0.06,-4.5%,-16.55%,475.488,Unknown,Unknown,Unknown
1395,TELL,Tellurion,0.00000005 BTC,$0.00,-7.96%,-46.01%,473.239,Unknown,Unknown,Unknown
1396,PAYP,PayPeer,0.00000002 BTC,$0.00,-3.78%,21.82%,467.475,Unknown,Unknown,Unknown
1397,TURBO,TurboCoin,0.00000002 BTC,$0.00,-3.78%,71.01%,453.872,Unknown,Unknown,Unknown
1398,SISA,SISA,0.00000151 BTC,$0.01,-3.95%,-28.81%,448.328,Unknown,Unknown,Unknown
1399,GMX,GoldMaxCoin,0.00000017 BTC,$0.00,-3.98%,-49.52%,430.381,Unknown,Unknown,Unknown
1400,BTC2X,Bitcoin2x,0.00000074 BTC,$0.00,-6.6%,-33.35%,414.319,Unknown,Unknown,Unknown
1401,CME,Cashme,0.00000002 BTC,$0.00,-3.71%,-32.06%,413.094,Unknown,Unknown,Unknown
1402,PDG,PinkDog,0.00000004 BTC,$0.00,-3.78%,-31.59%,412.508,Unknown,Unknown,Unknown
1403,TLE,Tattoocoin (Limited Edition),0.00014001 BTC,$1.11,-3.78%,-34.09%,409.763,Unknown,Unknown,Unknown
1404,ZBC,Zilbercoin,0.00000562 BTC,$0.04,-3.51%,-15.58%,400.858,Unknown,Unknown,Unknown
1405,BLAZR,BlazerCoin,0.00000023 BTC,$0.00,-4.67%,-42.28%,380.822,Unknown,Unknown,Unknown
1406,PRN,Protean,0.000000008 BTC,$0.00,-0.14%,-21.83%,362.735,Unknown,Unknown,Unknown
1407,HIGH,High Gain,0.00000006 BTC,$0.00,-3.96%,-43.0%,359.39,Unknown,Unknown,Unknown
1408,SWP,Swapcoin,0.00003368 BTC,$0.26,-4.5%,-15.4%,330.313,Unknown,Unknown,Unknown
1409,TODAY,TodayCoin,0.00000009 BTC,$0.00,-3.78%,-25.67%,322.54,Unknown,Unknown,Unknown
1410,QORA,Qora,0.00003236 BTC,$0.25,-3.78%,-9.15%,318.737,Unknown,Unknown,Unknown
1411,RCN,Rcoin,0.00000001 BTC,$0.00,-3.78%,-14.5%,302.904,Unknown,Unknown,Unknown
1412,BTBc,Bitbase,0.00000023 BTC,$0.00,-0.69%,-21.33%,301.729,Unknown,Unknown,"100,000,000.0"
1413,STEX,STEX,0.00014112 BTC,$1.12,-3.96%,-18.08%,281.347,Unknown,Unknown,Unknown
1414,SKR,Sakuracoin,0.00000060 BTC,$0.00,-4.69%,-18.01%,270.631,Unknown,Unknown,"105,100,000.0"
1415,DUTCH,Dutch Coin,0.00000009 BTC,$0.00,-3.96%,-16.5%,269.885,Unknown,Unknown,Unknown
1416,IPY,Infinity Pay,0.00000015 BTC,$0.00,-4.39%,-16.22%,261.804,Unknown,Unknown,Unknown
1417,ACES,Aces,0.00000008 BTC,$0.00,4.49%,-14.8%,249.825,Unknown,Unknown,Unknown
1418,GAY,GAY Money,0.00000519 BTC,$0.04,-3.78%,-15.31%,242.184,Unknown,Unknown,Unknown
1419,LKC,LinkedCoin,0.00000003 BTC,$0.00,-3.78%,-14.49%,240.919,Unknown,Unknown,Unknown
1420,SKULL,Pirate Blocks,0.00000049 BTC,$0.00,-4.37%,-29.7%,231.467,Unknown,Unknown,"240,000,000.0"
1421,IRL,IrishCoin,0.00000185 BTC,$0.01,-3.78%,-19.07%,221.578,Unknown,Unknown,Unknown
1422,DASHS,Dashs,0.00000899 BTC,$0.07,-3.14%,-13.83%,202.671,Unknown,Unknown,Unknown
1423,TRIA,Triaconta,0.00229652 BTC,$18.3,-4.5%,17.35%,201.45,Unknown,Unknown,Unknown
1424,BTCS,Bitcoin Silver,0.00000051 BTC,$0.00,-4.5%,-37.79%,196.557,Unknown,Unknown,Unknown
1425,ETT,EncryptoTel [ETH],0.00000942 BTC,$0.07,-1.34%,-21.67%,192.657,Unknown,Unknown,Unknown
1426,HALLO,Halloween Coin,0.00000005 BTC,$0.00,-3.46%,-26.95%,188.343,Unknown,Unknown,"1,500,000,000.0"
1427,XTD,XTD Coin,0.00000001 BTC,$0.00,-3.71%,-38.35%,168.914,Unknown,Unknown,Unknown
1428,LEPEN,LePen,0.00000001 BTC,$0.00,-3.78%,-35.33%,166.424,Unknown,Unknown,Unknown
