,symbol,name,price_btc,price_usd,percent_change_1h,percent_change_24h,volume_usd_24h,market_cap_usd,available_supply,max_supply
1498,HYPER,Hyper,0.00001016 BTC,$0.09,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1499,XID,International Diamond,0.00000050 BTC,$0.00,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1500,FRWC,FrankyWillCoin,0.00000038 BTC,$0.00,Unknown,Unknown,Unknown,Unknown,Unknown,"100,000,000.0"
1501,SPORT,SportsCoin,0.00000018 BTC,$0.00,Unknown,-8.68%,Unknown,Unknown,Unknown,Unknown
1502,GUC,GoldUnionCoin,0.00000267 BTC,$0.02,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1503,MEN,PeopleCoin,0.00000001 BTC,$0.00,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1504,FID,BITFID,0.00000803 BTC,$0.06,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1505,BLX,Blockchain Index,0.00051782 BTC,$4.28,-0.97%,-13.47%,Unknown,Unknown,Unknown,Unknown
1506,LEEK,Leek Coin,0.00000582 BTC,$0.04,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1507,GDC,GrandCoin,0.0000000007 BTC,$0.00,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1508,FC,Facecoin,0.00000102 BTC,$0.00,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1509,FRCT,Farstcoin,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1510,XMRG,Monero Gold,0.00000039 BTC,$0.00,22.53%,-95.65%,Unknown,Unknown,Unknown,Unknown
1511,ZLA,Zilla,0.00000825 BTC,$0.07,Unknown,0.11%,Unknown,Unknown,Unknown,Unknown
