,coin_symbol,coin_name,description,publication_date,start
0,KNC,Kyber Network,Mainnet Launch,2017-12-02,2018-2
1,SOAR,Soarcoin,Whitepaper v2.0 / Soar Wallet Release,2017-12-04,2018-2
2,ADX,AdEx,Beta Release,2017-12-13,2018-2
3,OTN,Open Trading Network,Wallet Release,2017-12-14,2018-2
4,DASH,Dash,DashPay Evolution Wallet Livenet Release,2017-12-23,2018-2
5,TER,TerraNova,Listing on Livecoin.net,2017-12-23,2018-2
6,EDO,Eidoo,Eidoo Exchange Launch,2017-12-24,2018-2
7,PCOIN,Pioneer Coin,Listing on HitBTC,2017-12-26,2018-2
8,1337,Elite,New Website,2017-12-26,2018-2
9,QRL,Quantum Resistant Ledger,Mainnet Launch,2018-1-01,2018-2
10,BCC,BitConnect,Marketing Contest and Campaign,2018-1-01,2018-2
11,HSR,Hshare,Starts 1:1 Exchange for Hcash/Hshare,2018-1-01,2018-2
12,QAU,Quantum,Mainnet Launch,2018-1-01,2018-2
13,ADST,AdShares,Adshares Platform Launch,2018-1-02,2018-2
14,DRGN,Dragonchain,Dragonchain Foundation Developer Academy Pilot Program,2018-1-02,2018-2
15,BNTY,Bounty0x,Alpha 2.0 Release,2018-1-02,2018-2
16,STORJ,Storj,Update,2018-1-05,2018-2
17,RADS,Radium,Hard Fork,2018-1-06,2018-2
18,WTC,Walton,Information on Masternodes Release,2018-1-06,2018-2
19,WTC,Walton,Operational Release of Masternodes,2018-1-06,2018-2
20,CURE,Curecoin,Vorksholk Full Beta,2018-1-07,2018-2
21,GTO,Gifto,Crypto GIFTO Wallet Start to Deploy in Uplive,2018-1-09,2018-2
22,DENT,Dent,Android App Release,2018-1-10,2018-2
23,MTL,Metal,Metal Pay Release,2018-1-10,2018-2
24,CASH,Cash Poker Pro,Cash Poker Pro Poker Room Launch,2018-1-10,2018-2
25,BLUE,BLUE,BLUE Wallet Chrome Extension Update,2018-1-10,2018-2
26,DIX,Dix Asset,New Website,2018-1-11,2018-2
27,FAIR,FairGame,New Game Release,2018-1-13,2018-2
28,COXST,CoExistCoin,Listing on Two New Exchanges,2018-1-14,2018-2
29,ELF,aelf,AELF Asset Chain Launch,2018-1-15,2018-2
30,CL,Coinlancer,UX/UI Upgrades,2018-1-15,2018-2
31,XLM,Stellar,FairX Open Beta,2018-1-15,2018-2
32,STU,bitJob,New website,2018-1-15,2018-2
33,BTG,Bitcoin Gold,Next Generation Addresses,2018-1-16,2018-2
34,EBST,eBoost,Listing on OKEx,2018-1-19,2018-2
35,EBST,eBoost,ALA Airdrop for eBoost Holders on OKEx,2018-1-19,2018-2
36,LIFE,LIFE,LIFEcard & LIFEwallet Beta,2018-1-20,2018-2
37,ENJ,Enjin Coin,iOS Wallet,2018-1-20,2018-2
38,HVN,Hive,Listing on Next.Exchange,2018-1-22,2018-2
39,DGPT,DigiPulse,Website Update,2018-1-22,2018-2
40,DGB,DigiByte,Wallet for iOS,2018-1-23,2018-2
41,SCS,Speedcash,Desktop Wallet for Windows,2018-1-25,2018-2
42,SKY,Skycoin,Skywire Testnet Launch,2018-1-25,2018-2
43,BCD,Bitcoin Diamond,Listing on HitBTC,2018-1-25,2018-2
44,OCN,Odyssey,Listing on Binance,2018-1-25,2018-2
45,HGT,HelloGold,GOLDX Airdrop for HGT Holders,2018-1-26,2018-2
46,GTC,Game.com,GTC Game Open Platform,2018-1-26,2018-2
47,DGB,DigiByte,Mobile Wallets,2018-1-27,2018-2
48,ETG,Ethereum Gold,Listing on KuCoin,2018-1-27,2018-2
49,ETG,Ethereum Gold,Listing on BitBay,2018-1-27,2018-2
50,IOC,I/O Coin,Listing on a New Exchange,2018-1-27,2018-2
51,CAPP,Cappasity,Listing on a New Exchange,2018-1-27,2018-2
52,EAGLE,EagleCoin,Integration with TOR,2018-1-27,2018-2
53,STAK,STRAKS,Listing on HitBtc,2018-1-28,2018-2
54,SYNX,Syndicate,First SYNX Partnership Announcement,2018-1-28,2018-2
55,SYNX,Syndicate,Syndicate Wallet 1.9.9 Release,2018-1-28,2018-2
56,BCH,Bitcoin Cash,Hard Fork,2018-1-28,2018-2
57,PKT,Playkey,Listing on Large Exchange,2018-1-29,2018-2
58,DCR,Decred,Listing on FEX.HK,2018-1-29,2018-2
59,STN,Steneum Coin,Saving Program Launch,2018-1-30,2018-2
60,TOA,ToaCoin,Listing on CryptoBridge,2018-1-30,2018-2
61,COLX,ColossusCoinXT,Listing on Next.Exchange,2018-1-30,2018-2
62,ELF,aelf,Partnership with ThetaToken,2018-1-30,2018-2
63,MUSIC,Musicoin,Partnership Announcement,2018-2-01,2018-2
64,WAVES,Waves,Waves Client Beta Desktop App for Windows Launch,2018-2-01,2018-2
65,OMNI,Omni,Website Update,2018-2-01,2018-2
66,EBTC,eBitcoin,ePRX Token Distribution for EBTC Holders,2018-2-01,2018-2
67,IOST,IOStoken,Weekly Update,2018-2-01,2018-2
68,DPY,Delphy,Product Launch in China,2018-2-01,2018-2
69,NXC,Nexium,B2Expand Roadmap,2018-2-01,2018-2
70,ELTCOIN,ELTCOIN,New Roadmap,2018-2-02,2018-2
71,AMB,Ambrosus,Roadmap Update,2018-2-02,2018-2
72,IOST,IOStoken,In-depth Technical Overviews of Technology,2018-2-02,2018-2
73,GUP,Matchpool,API,2018-2-02,2018-2
74,NLC2,NoLimitCoin,Listing on Next.Exchange,2018-2-02,2018-2
75,EBTC,eBitcoin,Listing on KuCoin,2018-2-02,2018-2
76,HTML,HTMLCOIN,Listing on KuCoin,2018-2-02,2018-2
77,ENG,Enigma,Development News,2018-2-03,2018-2
78,ETN,Electroneum,Listing on HitBTC,2018-2-03,2018-2
79,BUZZ,BuzzCoin,Listing on CREX24,2018-2-04,2018-2
80,ARCT,ArbitrageCT,Listing on HitBTC,2018-2-04,2018-2
81,ARCT,ArbitrageCT,Mobile Apps Release,2018-2-04,2018-2
82,ETN,Electroneum,Listing on QRYPTOS,2018-2-04,2018-2
83,LTC,Litecoin,LitePay Launch,2018-2-04,2018-2
84,MTN,Medical Chain,Listing on QRYPTOS,2018-2-04,2018-2
85,ECASH,Ethereum Cash,Listing on QRYPTOS,2018-2-04,2018-2
86,GAT,Gatcoin,Listing on QRYPTOS,2018-2-04,2018-2
87,BMC,Blackmoon,Listing on QRYPTOS,2018-2-04,2018-2
88,SDRN,Senderon,Windows Desktop Wallet 2.0,2018-2-04,2018-2
89,SDRN,Senderon,New Logo,2018-2-04,2018-2
90,ECA,Electra,Listing on FatBTC,2018-2-04,2018-2
91,REBL,Rebellious,Roadmap Update,2018-2-04,2018-2
92,CAPP,Cappasity,Listing on KuCoin,2018-1-30,2018-2
93,ETN,Electroneum,New Wallet Inbound,2018-1-31,2018-2
94,QVT,Qvolta,Qvolta Platform Launch,2018-1-31,2018-2
95,GBX,GoByte,Listing on KuCoin,2018-1-31,2018-2
96,GBX,GoByte,Listing on HitBTC,2018-1-31,2018-2
97,SPHTX,SophiaTX,Roadmap,2018-1-31,2018-2
98,SPHTX,SophiaTX,Listing on EXX,2018-1-31,2018-2
99,EQL,Equal,Listing on a New Exchange,2018-1-31,2018-2
100,DIVX,Divi,Roadmap,2018-2-01,2018-2
101,CJ,Cryptojacks,BitRewards Mac Wallet Launch,2018-2-01,2018-2
102,ATMS,Atmos,Client Release,2018-1-30,2018-2
103,PAC,PACcoin,New Roadmap,2017-12-22,2018-2-01
104,ADT,adToken,Testnet Release,2018-1-02,2018-2-01
